player_id,domain,domain_best_performance,domain_average_performance,games_in_domain,age,weekly_gaming_hours,sleep_hours_last_night
4b128ac4-f4f1-43d6-8973-602d566d7c96,Attention,76.47,70.59,1,28,25,7
4b128ac4-f4f1-43d6-8973-602d566d7c96,Learning,89.0,89.0,1,28,25,7
4b128ac4-f4f1-43d6-8973-602d566d7c96,Memory,79.33,76.714,5,28,25,7
4b128ac4-f4f1-43d6-8973-602d566d7c96,Perception,73.71666666666667,72.38333333333333,3,28,25,7
4b128ac4-f4f1-43d6-8973-602d566d7c96,Reasoning,73.095,68.93,2,28,25,7
4b128ac4-f4f1-43d6-8973-602d566d7c96,Reflex,84.48333333333333,78.41666666666667,3,28,25,7
4d6edd3c-f110-45e5-ab53-2b4063a425c0,Attention,60.687999999999995,55.627999999999986,5,23,30,1
4d6edd3c-f110-45e5-ab53-2b4063a425c0,Learning,71.3925,69.8925,4,23,30,1
4d6edd3c-f110-45e5-ab53-2b4063a425c0,Memory,65.02111111111111,62.05222222222222,9,23,30,1
4d6edd3c-f110-45e5-ab53-2b4063a425c0,Perception,69.4975,65.6425,4,23,30,1
4d6edd3c-f110-45e5-ab53-2b4063a425c0,Reasoning,63.72,61.806000000000004,5,23,30,1
4d6edd3c-f110-45e5-ab53-2b4063a425c0,Reflex,62.25833333333334,59.75833333333333,6,23,30,1
517b9976-d2ab-40bb-b250-cfce5e299567,Attention,26.266000000000002,22.116000000000003,5,35,35,6
517b9976-d2ab-40bb-b250-cfce5e299567,Learning,68.0,64.0,1,35,35,6
517b9976-d2ab-40bb-b250-cfce5e299567,Memory,10.0,5.0,5,35,35,6
517b9976-d2ab-40bb-b250-cfce5e299567,Perception,16.365000000000002,5.91,2,35,35,6
517b9976-d2ab-40bb-b250-cfce5e299567,Reasoning,35.0,23.5,1,35,35,6
517b9976-d2ab-40bb-b250-cfce5e299567,Reflex,41.5825,33.52,4,35,35,6
531f7fa4-c3a8-4bd6-abc5-df42340b1a3c,Attention,57.62166666666667,41.443333333333335,6,32,20,9
531f7fa4-c3a8-4bd6-abc5-df42340b1a3c,Learning,63.824999999999996,52.6725,4,32,20,9
531f7fa4-c3a8-4bd6-abc5-df42340b1a3c,Memory,56.07,46.36272727272727,11,32,20,9
531f7fa4-c3a8-4bd6-abc5-df42340b1a3c,Perception,51.306666666666665,51.306666666666665,3,32,20,9
531f7fa4-c3a8-4bd6-abc5-df42340b1a3c,Reasoning,66.982,61.660000000000004,5,32,20,9
531f7fa4-c3a8-4bd6-abc5-df42340b1a3c,Reflex,57.325,51.42875,8,32,20,9
5414e0d6-f807-44bb-948c-00eb2056c359,Attention,67.44,61.650000000000006,2,21,28,9
5414e0d6-f807-44bb-948c-00eb2056c359,Learning,54.120000000000005,54.120000000000005,1,21,28,9
5414e0d6-f807-44bb-948c-00eb2056c359,Memory,74.2,51.7,2,21,28,9
5414e0d6-f807-44bb-948c-00eb2056c359,Reasoning,57.83666666666667,56.31333333333334,3,21,28,9
5414e0d6-f807-44bb-948c-00eb2056c359,Reflex,67.44,61.650000000000006,2,21,28,9
54716eaf-ebd2-4b23-8374-4a9e022d81ad (1),Attention,85.46999999999998,85.46999999999998,3,24,5,7
54716eaf-ebd2-4b23-8374-4a9e022d81ad (1),Memory,92.5,85.0,1,24,5,7
54716eaf-ebd2-4b23-8374-4a9e022d81ad (1),Reflex,85.46999999999998,85.46999999999998,3,24,5,7
5584c4ec-9108-479e-885a-ec94c3badae0,Attention,76.04666666666667,73.10666666666667,3,22,35,8
5584c4ec-9108-479e-885a-ec94c3badae0,Learning,68.57,68.57,1,22,35,8
5584c4ec-9108-479e-885a-ec94c3badae0,Memory,71.415,69.86250000000001,8,22,35,8
5584c4ec-9108-479e-885a-ec94c3badae0,Perception,71.06,69.86,3,22,35,8
5584c4ec-9108-479e-885a-ec94c3badae0,Reasoning,72.335,66.085,2,22,35,8
5584c4ec-9108-479e-885a-ec94c3badae0,Reflex,72.62333333333333,68.45666666666666,3,22,35,8
